Tier,Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Slot 7,Slot 8,Slot 9,Fluid
1,1 iron block,1 diamond,1 iron block,1 diamond,1 iron block,1 diamond,1 iron block,1 diamond,1 iron block,10.000 water
2,4 iron block,1 diamond block,4 iron block,1 copper block,previous tier craft,1 copper block,4 iron block,1 emerald block,4 iron block,20.000 lumisene (supplementaries)
3,16 iron block,4 diamond block,16 iron block,4 tin block,previous tier craft,4 tin block,16 iron block,4 gold block,16 iron block,30.000 lava
4,32 iron block,8 diamond block,32 iron block,8 lead block,previous tier craft,8 lead block,32 iron block,8 biomass block,32 iron block,40.000 nutritional paste (mechanism)
5,48 compressed log,16 diamond block,48 compressed log,16 bronze block,previous tier craft,16 bronze block,48 compressed log,16 nickel block,48 compressed log,50.000 fluid xp (mob grinding utils)
6,64 iron block,32 diamond block,64 iron block,32 brass block,previous tier craft,32 brass block,64 iron block,32 adamant block,64 iron block,60.000 silicon wash (oritech)
7,64 iron block,48 diamond block,64 iron block,48 steel block,previous tier craft,48 steel block,64 iron block,48 plastic block,64 iron block,70.000 turbofuel (oritech)
8,64 iron block,64 diamond block,64 iron block,64 electrum block,previous tier craft,64 electrum block,64 iron block,64 energite block,64 iron block,80.000 chocolate (create)
9,64 iron block,64 diamond block,64 iron block,64 silicon block,previous tier craft,64 silicon block,64 iron block,64 netherite block,64 iron block,90.000 cloud seed concentrated (enderio)
10,64 netherite block,64 diamond block,64 energite block,64 silicon block,previous tier craft,64 adamant block,64 emerald block,64 duratium block,64 iron block,100.000 strange matter (oritech)
